fipsCode,metroName,avgCost,avgRangeMinCost,avgRangeMaxCost,minCost,maxCost,numCostProfiles
36420,"Oklahoma City metro area",1299,841,1756,0,4400,136
36500,"Olympia metro area",1378,1086,1684,0,3500,39
36540,"Omaha metro area",1140,970,1343,0,2000,78
36740,"Orlando metro area",1042,664,1427,200,10988,233
36780,"Oshkosh metro area",852,584,1120,0,1400,16
37100,"Oxnard metro area",1712,1252,2293,0,5307,66
37340,"Palm Bay metro area",967,736,1211,250,4500,155
37860,"Pensacola metro area",966,564,1412,0,2015,19
37900,"Peoria metro area",953,792,1114,0,2500,7
37980,"Philadelphia metro area",1076,803,1361,0,3700,813
38060,"Phoenix metro area",1026,705,1372,300,6000,614
38300,"Pittsburgh metro area",897,644,1163,0,4190,170
38860,"Portland metro area",817,654,1073,0,1300,25
38900,"Portland metro area",1291,964,1626,0,4336,286
38940,"Port St. Lucie metro area",1218,1043,1405,250,30000,102
39100,"Poughkeepsie metro area",1211,920,1535,0,2800,19
39300,"Providence metro area",1128,766,1501,0,5000,197
39340,"Provo metro area",1335,928,1742,0,3400,32
39460,"Punta Gorda metro area",1040,859,1235,0,4200,55
39540,"Racine metro area",832,589,1140,0,1500,25
39580,"Raleigh metro area",1256,916,1672,0,3500,246
39660,"Rapid City metro area",1391,951,2050,0,2800,5
39740,"Reading metro area",971,776,1166,0,1400,30
39820,"Redding metro area",1286,1147,1426,0,1741,5
39900,"Reno metro area",1409,1012,1834,0,3668,71
40060,"Richmond metro area",1012,733,1340,0,3000,93
40140,"Riverside metro area",1275,904,1654,0,3800,373
40220,"Roanoke metro area",855,473,1291,0,1672,15
40380,"Rochester metro area",1098,804,1410,0,3700,97
40420,"Rockford metro area",777,564,990,0,1200,18
40900,"Sacramento metro area",1512,1125,1920,400,5555,351
41060,"St. Cloud metro area",1124,1088,1160,0,1800,5
41100,"St. George metro area",1082,896,1287,0,2351,22
41180,"St. Louis metro area",1019,766,1278,0,1575,256
41420,"Salem metro area",1010,761,1272,0,3425,38
41500,"Salinas metro area",1196,869,1708,0,2560,18
41540,"Salisbury metro area",1516,1076,2001,0,3700,42
41620,"Salt Lake City metro area",1509,1111,1928,0,5189,126
41700,"San Antonio metro area",1207,820,1637,0,5000,244
41740,"San Diego metro area",1293,958,1667,357,4370,358
41860,"San Francisco metro area",1505,1088,1945,500,4985,379
41940,"San Jose metro area",1449,1090,1875,454,4270,198
42020,"San Luis Obispo metro area",1093,855,1330,0,2200,31
42100,"Santa Cruz metro area",1735,1078,2392,0,4120,20
42140,"Santa Fe metro area",1204,988,1453,0,1750,20
42200,"Santa Maria metro area",1382,1043,1764,0,2800,17
42220,"Santa Rosa metro area",1380,877,1918,0,5500,42
42340,"Savannah metro area",1352,1021,1749,0,2400,12
42540,"Scranton metro area",1003,742,1265,0,1800,23
42660,"Seattle metro area",1478,1062,1895,0,5700,583
42680,"Sebastian metro area",715,615,829,0,1250,16
43340,"Shreveport metro area",1175,1054,1296,0,2080,7
43780,"South Bend metro area",1049,909,1257,745,1599,22
43900,"Spartanburg metro area",1496,1133,1951,0,4000,21
44060,"Spokane metro area",1495,1065,2036,0,7000,59
44140,"Springfield metro area",1234,901,1611,0,2800,48
44180,"Springfield metro area",1057,806,1340,0,3800,18
44220,"Springfield metro area",888,702,1075,0,1250,4
44300,"State College metro area",885,701,1162,0,1199,5
44700,"Stockton metro area",1325,980,1669,0,4600,36
45060,"Syracuse metro area",1265,939,1599,0,5500,53
45220,"Tallahassee metro area",815,680,1155,0,1211,7
45300,"Tampa metro area",957,709,1225,260,7485,425
45540,"The Villages metro area",1080,974,1222,0,1478,9
45780,"Toledo metro area",1083,846,1320,0,3100,60
45820,"Topeka metro area",1423,1224,1821,0,4350,7
45940,"Trenton metro area",1166,951,1465,0,1950,44
46060,"Tucson metro area",981,661,1301,0,3500,102
46140,"Tulsa metro area",1198,987,1500,0,3485,52
46340,"Tyler metro area",1940,1927,1966,0,4200,4
46520,"Urban Honolulu metro area",1635,1151,2119,564,5730,38
46540,"Utica metro area",926,750,1102,0,1150,6
46700,"Vallejo metro area",1791,1435,2318,700,5800,41
47220,"Vineland metro area",965,809,1200,0,1200,5
47260,"Virginia Beach metro area",1354,916,1802,0,4900,156
47380,"Waco metro area",1118,879,1356,0,3900,7
47460,"Walla Walla metro area",1175,1133,1300,0,1300,4
47580,"Warner Robins metro area",658,492,866,0,3300,10
47900,"Washington DC metro area",1347,934,1772,0,4400,864
47940,"Waterloo metro area",966,832,1100,0,1100,4
48140,"Wausau metro area",945,776,1158,0,2700,10
48620,"Wichita metro area",959,750,1207,0,2752,54
48900,"Wilmington metro area",819,612,1056,0,1300,15
49020,"Winchester metro area",834,620,1090,0,1368,11
49180,"Winston metro area",1047,755,1346,0,1600,29
49340,"Worcester metro area",1273,968,1619,0,3770,144
49420,"Yakima metro area",945,817,1200,0,1200,4
49620,"York metro area",850,540,1160,0,1475,22
49660,"Youngstown metro area",670,508,849,0,1000,22
49700,"Yuba City metro area",1841,1737,2048,0,3500,4
