MSA,msa.or.nonMSA,theme1,theme2,theme3,theme4,theme5,theme6,theme7,Total_population,n_counties,FIPS,ccvi
"Sioux Falls, SD",msa,0.04651162791,0.3139534884,0.3302325581,0.2534883721,0.1813953488,0.8906976744,0.3837209302,255438,4,43620,0.176744186
"South Bend-Mishawaka, IN-MI",msa,0.5209302326,0.4441860465,0.6790697674,0.6534883721,0.3581395349,0.5209302326,0.7906976744,320700,2,43780,0.611627907
SOUTH CAROLINA (excluding all MSAs),nonMSA,0.9209302326,0.5558139535,0.8465116279,0.8581395349,0.3348837209,0.5162790698,0.1627906977,741459,20,NA,0.7302325581
SOUTH DAKOTA (excluding all MSAs),nonMSA,0.2139534884,0.1372093023,0.4488372093,0.5744186047,0.1860465116,0.5465116279,0.02790697674,456956,59,NA,0.1279069767
"Spartanburg, SC",msa,0.6697674419,0.711627907,0.8790697674,0.5976744186,0.2604651163,0.8209302326,0.7720930233,302195,1,43900,0.8790697674
"Spokane-Spokane Valley, WA",msa,0.1930232558,0.2930232558,0.6255813953,0.188372093,0.3837209302,0.2418604651,0.4930232558,542089,2,44060,0.1813953488
"Springfield, IL",msa,0.3325581395,0.1348837209,0.5325581395,0.5790697674,0.523255814,0.04651162791,0.5093023256,210028,2,44100,0.2395348837
"Springfield, MA",msa,0.4465116279,0.7,0.5976744186,0.2488372093,0.1744186047,0.3279069767,0.8139534884,701210,3,44140,0.4186046512
"Springfield, MO",msa,0.3395348837,0.1,0.4744186047,0.4372093023,0.6186046512,0.6953488372,0.4953488372,458834,5,44180,0.3744186047
"Springfield, OH",msa,0.5581395349,0.2581395349,0.8348837209,0.8488372093,0.388372093,0.9906976744,0.7348837209,135198,1,44220,0.8488372093
"St. Cloud, MN",msa,0.06046511628,0.2976744186,0.5279069767,0.03255813953,0.6,0.3255813953,0.3162790698,196598,2,41060,0.1348837209
"St. George, UT",msa,0.2558139535,0.3930232558,0.1441860465,0.1139534884,0.4418604651,0.4441860465,0.1558139535,160537,1,41100,0.08372093023
"St. Joseph, MO-KS",msa,0.3651162791,0.2,0.7325581395,0.6651162791,0.7186046512,0.8372093023,0.2558139535,126779,4,41140,0.5465116279
"St. Louis, MO-IL",msa,0.288372093,0.2860465116,0.2046511628,0.5395348837,0.6558139535,0.5651162791,0.8372093023,2805551,15,41180,0.4372093023
"State College, PA",msa,0.1511627907,0.2279069767,0.3395348837,0.02093023256,0.7720930233,0.123255814,0.4046511628,161443,1,44300,0.1069767442
"Staunton, VA",msa,0.3046511628,0.1674418605,0.06046511628,0.7534883721,0.6023255814,0.4488372093,0.3720930233,121079,3,44420,0.2604651163
"Stockton, CA",msa,0.876744186,0.9651162791,0.8069767442,0.1255813953,0.9395348837,0.4534883721,0.8813953488,732212,1,44700,0.9395348837
"Sumter, SC",msa,0.9534883721,0.7023255814,1,0.8627906977,0.488372093,0.4139534884,0.311627907,141012,2,44940,0.8813953488
"Syracuse, NY",msa,0.3604651163,0.3023255814,0.6046511628,0.4720930233,0.676744186,0.7348837209,0.7255813953,654705,3,45060,0.5697674419
"Tallahassee, FL",msa,0.7046511628,0.5348837209,0.5581395349,0.4046511628,0.9162790698,0.5186046512,0.5534883721,380101,4,45220,0.7279069767
"Tampa-St. Petersburg-Clearwater, FL",msa,0.7581395349,0.7813953488,0.4465116279,0.7953488372,0.7604651163,0.6558139535,0.9744186047,3030047,4,45300,0.9581395349
TENNESSEE (excluding all MSAs),nonMSA,0.7697674419,0.1209302326,0.5813953488,0.9604651163,0.6046511628,0.8093023256,0.1651162791,1463412,52,NA,0.6372093023
"Terre Haute, IN",msa,0.5279069767,0.06744186047,0.8023255814,0.723255814,0.6348837209,0.5279069767,0.2930232558,187309,5,45460,0.4813953488
"Texarkana, TX-AR",msa,0.8023255814,0.3860465116,0.9930232558,0.8255813953,0.5837209302,0.6860465116,0.2069767442,150034,3,45500,0.8093023256
TEXAS (excluding all MSAs),nonMSA,0.8465116279,0.7906976744,0.7790697674,0.7558139535,0.7418604651,0.6162790698,0.06046511628,3088845,174,NA,0.8418604651
"The Villages, FL",msa,0.1093023256,0.2720930233,0.02325581395,1,0.4790697674,0.6744186047,0.5674418605,120999,1,45540,0.3651162791
"Toledo, OH",msa,0.4860465116,0.3093023256,0.5930232558,0.7093023256,0.4534883721,0.8930232558,0.8348837209,645329,4,45780,0.7604651163
"Topeka, KS",msa,0.1581395349,0.3325581395,0.5209302326,0.5465116279,0.1395348837,0.4325581395,0.3302325581,233260,5,45820,0.1860465116
